Gender,Geographic Region,Loyalty Status,Television Region,Affluence Grade,Age,Loyalty Card Tenure,Organics Purchase Indicator
M,Midlands,Tin,Midlands,10,65,7,1
M,North,Tin,N East,13,62,5,0
M,Midlands,Silver,East,10,62,3,0
M,South East,Silver,London,5,.,1,1
M,Midlands,Silver,Midlands,8,54,1,0
M,South East,Silver,S & S East,7,66,5,0
M,Midlands,Tin,Ulster,10,39,5,0
M,Midlands,Silver,East,7,75,7,0
M,North,Tin,N West,7,43,5,1
M,South West,Silver,S West,8,37,9,1
M,Midlands,Tin,East,.,.,4,0
M,South East,Tin,London,.,66,11,0
M,North,Tin,N East,8,42,5,0
M,Midlands,Tin,East,12,41,9,0
M,Midlands,Silver,East,8,71,6,0
M,Midlands,Gold,Wales & West,6,76,19,0
M,North,Silver,Yorkshire,8,60,11,1
M,Midlands,Tin,Midlands,6,45,4,0
M,Midlands,Silver,Ulster,7,55,1,0
M,Scottish,Gold,C Scotland,8,57,9,0
M,Midlands,Silver,East,9,48,2,0
M,South East,Gold,London,10,67,4,0
M,North,Gold,Yorkshire,6,.,3,0
M,North,Tin,N West,11,52,9,0
M,South East,Gold,S & S East,14,65,6,0
M,South East,Tin,London,13,41,7,1
M,North,Silver,Yorkshire,7,50,10,0
M,North,Tin,Yorkshire,7,.,10,0
M,Midlands,Gold,East,9,60,5,0
M,Midlands,Silver,Midlands,6,57,8,0
M,Scottish,Gold,C Scotland,6,75,17,0
M,Midlands,Silver,Wales & West,4,52,4,0
M,North,Tin,N West,7,42,4,0
M,South East,Silver,London,.,51,9,0
M,Midlands,Tin,Ulster,9,47,5,0
M,South East,Silver,London,8,60,8,0
M,Scottish,Gold,C Scotland,9,53,4,0
M,North,Gold,Yorkshire,10,39,2,1
M,South East,Silver,S & S East,6,53,6,1
M,South East,Silver,London,9,26,1,0
M,Midlands,Tin,Midlands,5,53,8,0
M,Scottish,Silver,C Scotland,5,51,8,0
M,South East,Tin,London,11,36,4,0
M,South East,Tin,S & S East,.,46,8,0
M,North,Gold,N West,4,67,5,0
M,South East,Tin,London,6,45,5,0
M,,Tin,,10,39,4,1
M,South East,Tin,London,11,35,8,1
M,North,Gold,Yorkshire,4,71,12,0
M,Scottish,Tin,Border,10,55,4,0
M,South West,Silver,S West,.,57,11,0
M,South East,Gold,London,13,53,5,0
M,North,Tin,Yorkshire,13,43,5,0
